Start date/time in UTC,Timezone,Duration (s),Observer ID,Latitude,Longitude,Mean volume (dBA),Could control noise exposure,Indoors,Noise_Source,Nominated as noise refuge,Start date UTC,Start time UTC,Mood_scale,timestamp,hour_of_day,day_of_month,month,day_of_week
2022-05-23 19:05:33,New York,29,359,40.50732,-75.70322,74,False,False,,False,2022-05-23,19:05:33,Very Sad,2022-05-23 19:05:33,19,23,5,1
2022-05-24 18:26:09,New York,29,359,40.50723,-75.70276,75,False,False,,False,2022-05-24,18:26:09,Very Sad,2022-05-24 18:26:09,18,24,5,2
2022-05-25 13:49:23,New York,29,370,39.94912,-75.19663,56,False,True,,True,2022-05-25,13:49:23,Neutral,2022-05-25 13:49:23,13,25,5,3
2022-05-25 17:39:24,New York,29,359,40.50723,-75.70281,75,False,False,,False,2022-05-25,17:39:24,Very Sad,2022-05-25 17:39:24,17,25,5,3
2022-05-25 18:13:52,New York,29,359,40.50581,-75.7023,76,False,False,,False,2022-05-25,18:13:52,Very Sad,2022-05-25 18:13:52,18,25,5,3
2022-05-27 18:31:28,New York,29,359,40.50724,-75.70279,76,False,False,,False,2022-05-27,18:31:28,Very Sad,2022-05-27 18:31:28,18,27,5,5
2022-05-28 07:14:57,New York,29,359,40.50743,-75.70338,65,False,False,,False,2022-05-28,07:14:57,Very Sad,2022-05-28 07:14:57,7,28,5,6
2022-05-28 11:46:12,New York,29,205,42.03396,-70.09596,77,False,False,water wave,False,2022-05-28,11:46:12,Extremely Happy,2022-05-28 11:46:12,11,28,5,6
2022-05-28 14:04:27,New York,29,205,42.03981,-70.09705,55,False,True,"woman,speaking head in silhouette",False,2022-05-28,14:04:27,Happy,2022-05-28 14:04:27,14,28,5,6
2022-05-28 17:49:56,New York,29,359,40.50596,-75.70225,74,False,False,,False,2022-05-28,17:49:56,Very Sad,2022-05-28 17:49:56,17,28,5,6
2022-05-28 17:50:42,New York,29,359,40.50595,-75.702,74,False,False,,False,2022-05-28,17:50:42,Very Sad,2022-05-28 17:50:42,17,28,5,6
